"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160202","화","여","60대이상","서울특별시","강동구","치킨","15"
"20160202","화","여","10대","서울특별시","강동구","치킨","18"
"20160202","화","남","40대","서울특별시","강동구","치킨","48"
"20160202","화","남","30대","서울특별시","강동구","치킨","77"
"20160202","화","남","60대이상","서울특별시","강동구","치킨","9"
"20160202","화","여","30대","서울특별시","강동구","치킨","111"
"20160202","화","남","10대","서울특별시","강동구","치킨","18"
"20160202","화","여","50대","서울특별시","강동구","치킨","32"
"20160202","화","남","50대","서울특별시","강동구","치킨","21"
"20160202","화","남","20대","서울특별시","강동구","치킨","60"
"20160202","화","여","20대","서울특별시","강동구","치킨","64"
"20160202","화","여","40대","서울특별시","강동구","치킨","101"
"20160202","화","남","60대이상","서울특별시","강북구","치킨","13"
"20160202","화","남","10대","서울특별시","강북구","치킨","18"
"20160202","화","여","40대","서울특별시","강북구","치킨","81"
"20160202","화","여","30대","서울특별시","강북구","치킨","86"
"20160202","화","여","60대이상","서울특별시","강북구","치킨","5"
"20160202","화","남","30대","서울특별시","강북구","치킨","78"
"20160202","화","여","10대","서울특별시","강북구","치킨","17"
"20160202","화","남","50대","서울특별시","강북구","치킨","19"
"20160202","화","여","50대","서울특별시","강북구","치킨","40"
"20160202","화","여","20대","서울특별시","강북구","치킨","46"
"20160202","화","남","20대","서울특별시","강북구","치킨","59"
"20160202","화","남","40대","서울특별시","강북구","치킨","51"
"20160202","화","남","10대","서울특별시","강서구","치킨","45"
"20160202","화","남","60대이상","서울특별시","강서구","치킨","13"
"20160202","화","남","20대","서울특별시","강서구","치킨","145"
"20160202","화","여","50대","서울특별시","강서구","치킨","65"
"20160202","화","여","10대","서울특별시","강서구","치킨","29"
"20160202","화","남","50대","서울특별시","강서구","치킨","38"
"20160202","화","여","60대이상","서울특별시","강서구","치킨","25"
"20160202","화","남","30대","서울특별시","강서구","치킨","135"
"20160202","화","여","30대","서울특별시","강서구","치킨","196"
"20160202","화","남","40대","서울특별시","강서구","치킨","118"
"20160202","화","여","40대","서울특별시","강서구","치킨","210"
"20160202","화","여","20대","서울특별시","강서구","치킨","137"
"20160202","화","여","10대","서울특별시","관악구","치킨","18"
"20160202","화","여","60대이상","서울특별시","관악구","치킨","16"
"20160202","화","여","20대","서울특별시","관악구","치킨","95"
"20160202","화","남","50대","서울특별시","관악구","치킨","23"
"20160202","화","남","10대","서울특별시","관악구","치킨","25"
"20160202","화","여","50대","서울특별시","관악구","치킨","28"
"20160202","화","남","60대이상","서울특별시","관악구","치킨","14"
"20160202","화","여","30대","서울특별시","관악구","치킨","146"
"20160202","화","남","30대","서울특별시","관악구","치킨","138"
"20160202","화","여","40대","서울특별시","관악구","치킨","113"
"20160202","화","남","40대","서울특별시","관악구","치킨","65"
"20160202","화","남","20대","서울특별시","관악구","치킨","170"
"20160202","화","여","60대이상","서울특별시","광진구","치킨","6"
"20160202","화","여","10대","서울특별시","광진구","치킨","14"
"20160202","화","남","40대","서울특별시","광진구","치킨","30"
"20160202","화","남","30대","서울특별시","광진구","치킨","50"
"20160202","화","남","60대이상","서울특별시","광진구","치킨","9"
"20160202","화","여","30대","서울특별시","광진구","치킨","44"
"20160202","화","남","10대","서울특별시","광진구","치킨","30"
"20160202","화","여","50대","서울특별시","광진구","치킨","37"
"20160202","화","남","50대","서울특별시","광진구","치킨","19"
"20160202","화","남","20대","서울특별시","광진구","치킨","46"
"20160202","화","여","20대","서울특별시","광진구","치킨","56"
"20160202","화","여","40대","서울특별시","광진구","치킨","64"
"20160202","화","남","10대","서울특별시","구로구","치킨","32"
"20160202","화","남","60대이상","서울특별시","구로구","치킨","16"
"20160202","화","남","20대","서울특별시","구로구","치킨","82"
"20160202","화","여","50대","서울특별시","구로구","치킨","40"
"20160202","화","여","10대","서울특별시","구로구","치킨","25"
"20160202","화","남","50대","서울특별시","구로구","치킨","22"
"20160202","화","여","60대이상","서울특별시","구로구","치킨","13"
"20160202","화","남","30대","서울특별시","구로구","치킨","108"
"20160202","화","여","30대","서울특별시","구로구","치킨","117"
"20160202","화","남","40대","서울특별시","구로구","치킨","60"
"20160202","화","여","40대","서울특별시","구로구","치킨","118"
"20160202","화","여","20대","서울특별시","구로구","치킨","67"
"20160202","화","여","10대","서울특별시","금천구","치킨","12"
"20160202","화","여","60대이상","서울특별시","금천구","치킨","5"
"20160202","화","여","20대","서울특별시","금천구","치킨","32"
"20160202","화","남","50대","서울특별시","금천구","치킨","15"
"20160202","화","남","10대","서울특별시","금천구","치킨","11"
"20160202","화","여","50대","서울특별시","금천구","치킨","24"
"20160202","화","남","60대이상","서울특별시","금천구","치킨","8"
"20160202","화","여","30대","서울특별시","금천구","치킨","43"
"20160202","화","남","30대","서울특별시","금천구","치킨","55"
"20160202","화","여","40대","서울특별시","금천구","치킨","53"
"20160202","화","남","40대","서울특별시","금천구","치킨","30"
"20160202","화","남","20대","서울특별시","금천구","치킨","42"
"20160202","화","남","60대이상","서울특별시","노원구","치킨","13"
"20160202","화","남","10대","서울특별시","노원구","치킨","28"
"20160202","화","남","30대","서울특별시","노원구","치킨","80"
"20160202","화","남","40대","서울특별시","노원구","치킨","52"
"20160202","화","여","60대이상","서울특별시","노원구","치킨","17"
"20160202","화","여","40대","서울특별시","노원구","치킨","121"
"20160202","화","여","10대","서울특별시","노원구","치킨","28"
"20160202","화","남","20대","서울특별시","노원구","치킨","80"
"20160202","화","여","20대","서울특별시","노원구","치킨","52"
