측정일시	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(ug/m^2)	초미세먼지(ug/m^2)
20170110	광진구	0.019	0.028	0.4	0.004	33	16
20170110	마포구	0.024	0.021	0.5	0.004	32	19
20170110	용산구	0.021	0.02	0.3	0.004	27	16
20170110	신촌로	0.038	0.01	0.8	0.006	33	
20170110	강동구	0.023	0.021	0.4	0.004	36	16
20170110	영등포구	0.018	0.019	0.7	0.004	34	16
20170110	중구	0.02	0.023	0.3	0.003	30	16
20170110	영등포로	0.056	0.016	0.4	0.007	40	20
20170110	천호대로	0.034	0.015	0.3	0.005	29	17
20170110	강남구	0.021	0.02	0.4	0.005	32	14
20170110	종로구	0.022	0.023	0.4	0.004	29	16
20170110	공항대로	0.035	0.017	0.5	0.006	39	
20170110	도봉구	0.01	0.029	0.4	0.004	32	13
20170110	화랑로	0.031	0.016	0.6	0.006	39	
20170110	종로	0.02	0.019	0.3	0.004	27	18
20170110	청계천로	0.028	0.017	0.4	0.005	26	
20170110	구로구	0.016	0.02	0.3	0.006	31	15
20170110	강서구	0.02	0.025	0.3	0.006	34	15
20170110	성북구	0.021	0.019	0.4	0.004	34	17
20170110	중랑구	0.022	0.02	0.3	0.005	34	17
20170110	서대문구	0.019	0.025	0.5	0.006	32	15
20170110	동작대로	0.046	0.017	0.5	0.006	43	24
20170110	성동구	0.023	0.02	0.3	0.004	34	15
20170110	강남대로	0.063	0.012	0.6	0.006	41	16
20170110	강변북로	0.047	0.013	0.4	0.002	42	
20170110	은평구	0.013	0.014	0.5	0.003	33	16
20170110	서초구	0.023	0.028	0.4	0.005	32	12
20170110	동대문구	0.018	0.02	0.5	0.005	34	15
20170109	서초구	0.021	0.036	0.6	0.006	60	38
20170109	강변북로	0.044	0.014	0.6	0.004	74	
20170109	강남대로	0.054	0.014	0.8	0.007	71	48
20170109	정릉로	0.023	0.025	0.7	0.006	66	42
20170109	동작구	0.023	0.029	0.6	0.005	54	46
20170109	성동구	0.023	0.024	0.5	0.005	63	47
