title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
백악관 최후의 날,2013-06-05,964225000,134866,미국,,씨너스엔터테인먼트(주),청소년관람불가,액션/어드벤쳐,181257,1272025000
은밀하게 위대하게,2013-06-05,27207734683,3874357,한국,(주)엠씨엠씨,쇼박스㈜미디어플렉스,15세이상관람가,액션/어드벤쳐,6959083,48700887413
맨 오브 스틸,2013-06-13,11828718139,1498139,미국,,워너브러더스코리아(주),12세이상관람가,액션/어드벤쳐,2182227,17092964063
월드 워 Z,2013-06-20,15622226000,2107923,미국,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,5237519,38554957000
더 웹툰: 예고살인,2013-06-27,4656970070,642992,한국,"(주)필마픽쳐스 ,(주)라인필름,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,스릴러/공포,1200772,8532258570
화이트 하우스 다운,2013-06-27,3175531500,449080,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션/어드벤쳐,569453,4015410500
감시자들,2013-07-03,15724930776,2174289,한국,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,미스터리/범죄,5506770,39371354179
론 레인저,2013-07-04,2340266000,328673,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션/어드벤쳐,387527,2750149500
퍼시픽 림,2013-07-11,13558540512,1692669,미국,,워너브러더스코리아(주),12세이상관람가,액션/어드벤쳐,2538963,20476314512
미스터 고,2013-07-17,6014808000,835315,한국,"(주)덱스터필름,㈜광대무변,(주)컨텐츠아이",쇼박스㈜미디어플렉스,12세이상관람가,코미디,1326852,9324028000
레드: 더 레전드,2013-07-18,9997156638,1402075,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션/어드벤쳐,3001842,21491288970
마지막 4중주,2013-07-25,130860500,17214,미국,,(주)티캐스트,15세이상관람가,드라마,107480,806877000
극장판 도라에몽: 진구의 비밀도구 박물관,2013-07-25,579360000,90581,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,122054,779788500
터보,2013-07-25,6278877500,906927,미국,,씨제이이앤엠 주식회사,전체관람가,애니메이션,1922151,13103450000
더 울버린,2013-07-25,6967482500,958016,미국,,이십세기폭스코리아(주),15세이상관람가,액션/어드벤쳐,1075290,7848983000
더 테러 라이브,2013-07-31,16606716717,2319029,한국,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,미스터리/범죄,5579036,39834056881
설국열차,2013-08-01,32239676500,4515661,한국,"(주)모호필름,오퍼스픽쳐스(유)",씨제이이앤엠 주식회사,15세이상관람가,액션/어드벤쳐,9339555,66941268500
