custid	gender	age	marriage	residence	job
38809	남	48	기혼	Songpa-gu	개인사업
38892	여	48	기혼	Songpa-gu	제조업
38979	여	48	기혼	Gwangjin-gu	건설업
39067	남	48	기혼	Jungnang-gu	제조업
39150	여	48	기혼	Seocho-gu	개인사업
39232	여	48	기혼	Gangdong-gu	공무원
39312	남	48	기혼	Seodaemun-gu	개인사업
39397	남	49	기혼	Gangnam-gu	전문직
39487	여	49	기혼	Gangnam-gu	의료기관
39581	여	49	기혼	Gangnam-gu	개인사업
39671	여	49	기혼	Gangdong-gu	제조업
39764	남	49	기혼	Seocho-gu	의료기관
39863	남	49	기혼	Eunpyeong-gu	교육기관
39950	여	49	기혼	Gangnam-gu	개인사업
40038	남	49	기혼	Songpa-gu	연구기관
40122	여	49	기혼	Mapo-gu	개인사업
40194	여	49	기혼	Songpa-gu	개인사업
40277	여	49	기혼	Gangdong-gu	의료기관
40360	여	50	기혼	Yangcheon-gu	공무원
40453	여	50	기혼	Gangnam-gu	개인사업
40548	여	50	기혼	Gangnam-gu	개인사업
40631	남	50	기혼	Mapo-gu	개인사업
40723	여	50	기혼	Seocho-gu	개인사업
40822	남	50	기혼	Gwanak-gu	공무원
40923	남	50	미혼	Nowon-gu	개인사업
41047	여	51	기혼	Seodaemun-gu	개인사업
41134	여	51	기혼	Yeongdeungpo-gu	전문직
41217	여	51	기혼	Gangnam-gu	제조업
41313	남	51	기혼	Gangdong-gu	개인사업
41407	여	51	미혼	Gangnam-gu	건설업
41515	남	51	기혼	Songpa-gu	제조업
41595	여	51	기혼	Gangnam-gu	제조업
41672	남	51	기혼	Seongdong-gu	연구기관
41768	여	51	미혼	Mapo-gu	제조업
41859	여	51	기혼	Gangnam-gu	개인사업
41943	여	52	기혼	Jungnang-gu	정보서비스
42036	여	52	기혼	Mapo-gu	개인사업
42130	여	52	기혼	Gangnam-gu	개인사업
42232	남	52	기혼	Songpa-gu	건설업
42322	여	52	기혼	Seodaemun-gu	개인사업
42413	여	52	기혼	Songpa-gu	개인사업
42515	여	52	기혼	Gangdong-gu	개인사업
42612	여	52	기혼	Gwangjin-gu	개인사업
42697	여	52	기혼	Gwangjin-gu	공무원
42800	여	53	기혼	Gangnam-gu	개인사업
42908	여	53	기혼	Gangnam-gu	개인사업
43019	여	53	기혼	Seocho-gu	건설업
43117	남	53	기혼	Songpa-gu	공공기관
43196	남	53	기혼	Songpa-gu	금융기관
43277	남	53	기혼	Seocho-gu	교육기관
43376	여	53	기혼	Gangnam-gu	제조업
43475	남	53	기혼	Gangdong-gu	개인사업
43579	여	54	기혼	Gangdong-gu	개인사업
43670	여	54	기혼	Gangnam-gu	개인사업
43773	여	54	기혼	Yongsan-gu	언론기관
43887	남	54	기혼	Gwangjin-gu	개인사업
43975	여	54	기혼	Seodaemun-gu	개인사업
44068	여	54	기혼	Yongsan-gu	개인사업
44158	여	54	기혼	Seodaemun-gu	개인사업
44246	여	54	기혼	Seocho-gu	도소매업
44348	여	54	기혼	Songpa-gu	개인사업
44449	남	55	기혼	Seocho-gu	건설업
44548	여	55	기혼	Seongbuk-gu	제조업
44632	여	55	기혼	Seodaemun-gu	교육기관
44735	남	55	기혼	Seocho-gu	개인사업
44815	남	55	기혼	Dongjak-gu	건설업
44918	여	55	기혼	Songpa-gu	제조업
45046	여	55	기혼	Gangdong-gu	교육기관
45164	남	56	기혼	Eunpyeong-gu	금융기관
45243	여	56	기혼	Gangnam-gu	제조업
45343	남	56	기혼	Gangdong-gu	개인사업
45444	남	56	기혼	Jung-gu	개인사업
45549	남	56	기혼	Mapo-gu	개인사업
45648	여	56	기혼	Seodaemun-gu	개인사업
45759	남	57	기혼	Gangnam-gu	제조업
45865	남	57	기혼	Seocho-gu	공공기관
45994	여	57	미혼	Seongdong-gu	전문직
46111	여	57	기혼	Gangnam-gu	개인사업
46230	여	57	기혼	Jungnang-gu	개인사업
46327	여	58	기혼	Seocho-gu	금융기관
46441	여	58	기혼	Gangnam-gu	교육기관
46554	여	58	기혼	Seodaemun-gu	정보서비스
46661	남	58	기혼	Seocho-gu	제조업
46758	남	59	기혼	Gangdong-gu	개인사업
46869	여	59	기혼	Seocho-gu	건설업
46969	남	59	기혼	Gwangjin-gu	개인사업
47084	남	59	기혼	Gangnam-gu	그룹사
47203	남	59	기혼	Gangdong-gu	개인사업
47319	여	60	기혼	Jung-gu	제조업
47410	남	60	기혼	Seocho-gu	언론기관
47523	여	60	기혼	Yangcheon-gu	교육기관
47614	여	60	기혼	Seodaemun-gu	개인사업
47739	남	61	기혼	Gangnam-gu	교육기관
47842	여	61	기혼	Songpa-gu	개인사업
47956	남	61	기혼	Gangnam-gu	개인사업
48044	여	62	기혼	Nowon-gu	전문직
48169	여	62	기혼	Seocho-gu	공공기관
48278	여	63	기혼	Seodaemun-gu	개인사업
48401	여	63	기혼	Gangnam-gu	교육기관
48556	여	64	기혼	Seodaemun-gu	개인사업
48686	여	63	기혼	Songpa-gu	도소매업
48796	남	65	기혼	Songpa-gu	제조업
48890	남	65	기혼	Yongsan-gu	금융기관
48997	여	66	기혼	Gangnam-gu	개인사업
49112	여	65	기혼	Seodaemun-gu	개인사업
49232	여	67	기혼	Seongdong-gu	개인사업
49351	여	68	기혼	Mapo-gu	개인사업
49470	남	69	기혼	Yongsan-gu	제조업
