category,date,href,number,president,sub_category,title
과학기술/정보,2008.06.21,?spMode=view&catid=c_pa02062&artid=1310199,742,이명박,치사,남극 세계 각국 대원에게 보내는 2008 남극 동지 격려메시지
정치/사회,2008.06.27,?spMode=view&catid=c_pa02062&artid=1310202,741,이명박,기타,6·25 전사자 발굴 유해 합동 봉안식 연설
국정전반,2008.07.01,?spMode=view&catid=c_pa02062&artid=1310203,740,이명박,기념사,제주특별자치도 출범 2주년 및 세계자연유산 등재 1주년 기념사
국정전반,2008.07.01,?spMode=view&catid=c_pa02062&artid=1310204,739,이명박,치사,충주기업도시 기공식 격려사
정치/사회,2008.07.03,?spMode=view&catid=c_pa02062&artid=1310205,738,이명박,성명/담화문,한나라당 전당대회 연설
정치/사회,2008.07.03,?spMode=view&catid=c_pa02062&artid=1310207,737,이명박,기념사,제13회 여성주간 기념사
산업/경제,2008.07.03,?spMode=view&catid=c_pa02062&artid=1310206,736,이명박,기념사,제1회 지역투자박람회 개막식 축사
외교/통상,2008.07.04,?spMode=view&catid=c_pa02062&artid=1310208,735,이명박,만찬사,반기문 UN 사무총장 방한 만찬사
국방,2008.07.10,?spMode=view&catid=c_pa02062&artid=1310209,734,이명박,기념사,F-15K 전력화 기념행사 축사
정치/사회,2008.07.11,?spMode=view&catid=c_pa02062&artid=1310210,733,이명박,국회연설,제18 국회 개원 연설
정치/사회,2008.07.12,?spMode=view&catid=c_pa02062&artid=1310211,732,이명박,치사,2008 국민성공실천연합 비전 선포식 축사
국정전반,2008.07.17,?spMode=view&catid=c_pa02062&artid=1310212,731,이명박,치사,제헌 60주년 기념 축하 메시지
기타,2008.07.21,?spMode=view&catid=c_pa02062&artid=1310213,730,이명박,치사,고 박왕자씨 장남 방재정씨에게보내는 위로편지
문화/체육/관광,2008.07.25,?spMode=view&catid=c_pa02062&artid=1310214,729,이명박,치사,태릉선수촌 선수들에게 보내는 격려편지
국정전반,2008.07.26,?spMode=view&catid=c_pa02062&artid=1310215,728,이명박,치사,공무원에게 보내는 편지
외교/통상,2008.07.30,?spMode=view&catid=c_pa02062&artid=1310216,727,이명박,치사,한·미 대학생 콘퍼런스(KASC) 축하편지
기타,2008.08.01,?spMode=view&catid=c_pa02062&artid=1310217,726,이명박,치사,불교방송 시사주간지 이판사판 창간 축하 메시지
기타,2008.08.04,?spMode=view&catid=c_pa02062&artid=1310218,725,이명박,치사,광복회에 보내는 편지
문화/체육/관광,2008.08.08,?spMode=view&catid=c_pa02062&artid=1310219,724,이명박,치사,경기일보 창간 20주년 기념 축하 메시지
국정전반,2008.08.08,?spMode=view&catid=c_pa02062&artid=1310220,723,이명박,치사,기초의회 의장단 취임 축하편지
기타,2008.08.14,?spMode=view&catid=c_pa02062&artid=1310221,722,이명박,기타,yahoo·com 인터뷰
국정전반,2008.08.15,?spMode=view&catid=c_pa02062&artid=1310222,721,이명박,기념사,제63주년 광복절 및 대한민국 건국 60년 경축사
국방,2008.08.22,?spMode=view&catid=c_pa02062&artid=1310223,720,이명박,환영사,2008 환태평양 훈련 분대 환영사
외교/통상,2008.08.25,?spMode=view&catid=c_pa02062&artid=1310226,719,이명박,만찬사,후진타오 중국 국가주석 방한 환영 만찬사
정치/사회,2008.08.25,?spMode=view&catid=c_pa02062&artid=1310224,718,이명박,치사,한나라당 당원 동지에게 보내는 편지
국정전반,2008.08.25,?spMode=view&catid=c_pa02062&artid=1310225,717,이명박,치사,제6회 한국법률가대회 축사
외교/통상,2008.08.26,?spMode=view&catid=c_pa02062&artid=1310227,716,이명박,치사,한·중 양국 청년대표단 격려사
문화/체육/관광,2008.08.29,?spMode=view&catid=c_pa02062&artid=1310228,715,이명박,치사,장애인올림픽 선수단 결단식 격려 메시지
외교/통상,2008.09.01,?spMode=view&catid=c_pa02062&artid=1310229,714,이명박,기념사,바스께스 우루과이 대통령 초청 오찬사
국정전반,2008.09.01,?spMode=view&catid=c_pa02062&artid=1310230,713,이명박,기념사,헌법재판소 창립 20주년 기념사
문화/체육/관광,2008.09.02,?spMode=view&catid=c_pa02062&artid=1310232,712,이명박,기념사,제45회 방송의 날 축사
기타,2008.09.02,?spMode=view&catid=c_pa02062&artid=1310234,711,이명박,만찬사,세계헌법재판소장 초청 만찬사
산업/경제,2008.09.02,?spMode=view&catid=c_pa02062&artid=1310233,710,이명박,기념사,신용회복기금 출범식 축사
문화/체육/관광,2008.09.02,?spMode=view&catid=c_pa02062&artid=1310231,709,이명박,기념사,한국로타리의 날 축사
정치/사회,2008.09.03,?spMode=view&catid=c_pa02062&artid=1310235,708,이명박,치사,당원들께 보내는 추석 편지
문화/체육/관광,2008.09.03,?spMode=view&catid=c_pa02062&artid=1310236,707,이명박,기념사,서울 충무로 국제영화제개막식 축사
산업/경제,2008.09.03,?spMode=view&catid=c_pa02062&artid=1310237,706,이명박,치사,SK 제3고도화시설 준공식 격려사
환경,2008.09.05,?spMode=view&catid=c_pa02062&artid=1310238,705,이명박,기념사,제9회 사회복지의 날 기념사
산업/경제,2008.09.05,?spMode=view&catid=c_pa02062&artid=1310239,704,이명박,기념사,제12회 직업능력의 달 기념사
문화/체육/관광,2008.09.08,?spMode=view&catid=c_pa02062&artid=1310240,703,이명박,기념사,제35회 LA 한국의 날 기념메시지
기타,2008.09.09,?spMode=view&catid=c_pa02062&artid=1310241,702,이명박,기타,KBS 특집 대통령과의 대화
기타,2008.09.09,?spMode=view&catid=c_pa02062&artid=1310242,701,이명박,기념사,건군 60년 제58주년 인천상륙작전 기념사
산업/경제,2008.09.10,?spMode=view&catid=c_pa02062&artid=1310243,700,이명박,치사,2008 소상공인 전국대회 축사
국방,2008.09.10,?spMode=view&catid=c_pa02062&artid=1310244,699,이명박,치사,국군 장병 추석 격려 편지
기타,2008.09.14,?spMode=view&catid=c_pa02062&artid=1310245,698,이명박,기타,추석 인사말씀
문화/체육/관광,2008.09.17,?spMode=view&catid=c_pa02062&artid=1310246,697,이명박,치사,제5회 전국자원봉사센터대회축사
문화/체육/관광,2008.09.19,?spMode=view&catid=c_pa02062&artid=1310247,696,이명박,치사,2008 세계한민족축전 축하 메시지
정치/사회,2008.09.22,?spMode=view&catid=c_pa02062&artid=1310248,695,이명박,치사,민주평화통일자문회의 제13기 지역회의 개회사
산업/경제,2008.09.23,?spMode=view&catid=c_pa02062&artid=1310249,694,이명박,치사,새만금 코리아 발족식 축사
산업/경제,2008.09.24,?spMode=view&catid=c_pa02062&artid=1310250,693,이명박,치사,중소기업 이업종 전진대회 축사
문화/체육/관광,2008.09.26,?spMode=view&catid=c_pa02062&artid=1310251,692,이명박,기념사,2008 제4회 부산 세계사회체육대회 축사
정치/사회,2008.09.26,?spMode=view&catid=c_pa02062&artid=1310254,691,이명박,기념사,제58주년 재일학도의용군 6·25 참전 기념사
문화/체육/관광,2008.09.26,?spMode=view&catid=c_pa02062&artid=1310255,690,이명박,기념사,제43회 전국기능경기대회 개막식 축사
산업/경제,2008.09.26,?spMode=view&catid=c_pa02062&artid=1310253,689,이명박,치사,솔라파워코리아 2008 포럼 축사
국정전반,2008.09.26,?spMode=view&catid=c_pa02062&artid=1310252,688,이명박,기념사,대한민국 사법 60주년 기념사
외교/통상,2008.09.28,?spMode=view&catid=c_pa02062&artid=1310256,687,이명박,성명/담화문,[러시아 방문]동포 간담회 격려사
외교/통상,2008.09.28,?spMode=view&catid=c_pa02062&artid=1310257,686,이명박,만찬사,[러시아 방문]한·러 친선협회 주최만찬사
외교/통상,2008.09.30,?spMode=view&catid=c_pa02062&artid=1310258,685,이명박,성명/담화문,[러시아 방문]상트페테르부르크대학 연설
외교/통상,2008.09.30,?spMode=view&catid=c_pa02062&artid=1310259,684,이명박,기타,제2회 UN군 한국전 전상자 초청행사 연설
국방,2008.10.01,?spMode=view&catid=c_pa02062&artid=1310260,683,이명박,기념사,건군 60년 국군의 날 기념사
