ID	MONEY	VISIT	CROSS	API
891	129890	5	5	36
892	53100	2	1	68
893	922270	39	14	8
894	441750	11	5	11
895	204680	9	5	25
896	736450	8	5	9
897	137600	4	3	12
898	108300	7	3	42
899	425320	15	6	18
900	157850	6	5	26
901	19850	2	1	3
902	413630	14	7	16
903	309700	3	4	10
904	946410	25	12	7
905	3937530	57	13	2
906	1093930	13	7	7
907	32400	2	1	96
908	231920	6	4	27
909	541860	21	10	13
910	446330	20	9	5
911	654400	13	3	21
912	20739900	96	13	0
913	303360	7	3	37
914	362550	11	5	25
915	1176670	34	13	7
916	118420	3	5	30
917	381200	10	4	19
918	219380	10	4	19
919	577180	28	8	12
920	256440	12	4	19
921	91500	3	1	39
922	460960	20	7	12
923	286400	5	2	53
924	10800	3	1	11
925	2060330	23	6	14
926	184370	12	3	46
927	396050	7	7	22
928	1242710	45	13	8
929	1353910	51	10	7
930	296700	6	7	9
931	649240	24	8	7
932	486050	25	12	11
933	166720	5	3	28
934	598770	18	7	13
935	1108990	29	11	8
936	127060	3	1	60
937	192580	6	2	12
938	174100	10	4	37
939	664160	32	9	11
940	122000	2	1	52
941	610980	12	8	11
942	53300	2	2	8
943	280340	8	5	17
944	270930	11	5	20
945	195500	5	3	24
946	491710	16	9	13
947	77080	5	1	65
948	3125980	75	12	2
949	24000	3	1	202
950	799160	56	11	7
951	1420520	14	10	6
952	81450	5	2	75
953	270970	11	5	26
954	74500	2	1	29
955	1042080	24	9	5
956	348410	8	4	8
957	75200	4	2	38
958	452600	9	5	24
959	2647610	37	8	10
960	1047470	48	14	8
961	177700	5	2	38
962	633170	22	5	20
963	63500	3	2	31
964	216000	7	3	21
965	101090	6	2	35
966	424100	22	5	12
967	385930	12	8	22
968	24920	3	1	1
969	349100	9	5	22
970	1853510	55	14	5
971	301120	8	4	26
972	485020	25	10	10
973	553410	19	6	12
974	882530	38	11	8
975	196170	5	3	12
976	57200	2	2	5
977	381050	12	8	16
978	161330	2	2	13
979	424420	20	6	18
980	4622420	85	8	2
981	26200	3	1	40
982	116460	4	2	15
983	95650	5	3	21
984	277300	4	2	25
985	596680	13	8	10
986	253750	7	6	12
987	2424750	58	15	3
988	530210	13	4	19
989	392240	21	11	19
990	241800	2	2	53
991	649420	36	11	8
992	251760	11	3	28
993	83670	4	2	30
994	171200	8	3	21
995	269320	7	4	22
996	116280	7	7	19
997	147360	10	2	36
998	524970	14	10	11
999	78720	3	2	2
1000	314660	11	9	22
