"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160301","화","여","60대이상","서울특별시","종로구","치킨","12"
"20160301","화","여","10대","서울특별시","종로구","치킨","11"
"20160301","화","남","50대","서울특별시","종로구","치킨","13"
"20160301","화","여","20대","서울특별시","중구","치킨","81"
"20160301","화","남","20대","서울특별시","중구","치킨","88"
"20160301","화","남","40대","서울특별시","중구","치킨","53"
"20160301","화","남","30대","서울특별시","중구","치킨","108"
"20160301","화","남","50대","서울특별시","중구","치킨","37"
"20160301","화","여","30대","서울특별시","중구","치킨","122"
"20160301","화","여","50대","서울특별시","중구","치킨","32"
"20160301","화","여","60대이상","서울특별시","중구","치킨","23"
"20160301","화","여","10대","서울특별시","중구","치킨","15"
"20160301","화","남","60대이상","서울특별시","중구","치킨","16"
"20160301","화","남","10대","서울특별시","중구","치킨","11"
"20160301","화","여","40대","서울특별시","중구","치킨","81"
"20160301","화","남","30대","서울특별시","중랑구","치킨","91"
"20160301","화","여","30대","서울특별시","중랑구","치킨","106"
"20160301","화","남","50대","서울특별시","중랑구","치킨","33"
"20160301","화","여","20대","서울특별시","중랑구","치킨","84"
"20160301","화","남","40대","서울특별시","중랑구","치킨","61"
"20160301","화","남","20대","서울특별시","중랑구","치킨","67"
"20160301","화","여","40대","서울특별시","중랑구","치킨","95"
"20160301","화","남","10대","서울특별시","중랑구","치킨","29"
"20160301","화","남","60대이상","서울특별시","중랑구","치킨","17"
"20160301","화","여","10대","서울특별시","중랑구","치킨","20"
"20160301","화","여","60대이상","서울특별시","중랑구","치킨","22"
"20160301","화","여","50대","서울특별시","중랑구","치킨","34"
"20160302","수","여","60대이상","서울특별시","강남구","치킨","20"
"20160302","수","여","10대","서울특별시","강남구","치킨","27"
"20160302","수","여","30대","서울특별시","강남구","치킨","146"
"20160302","수","여","40대","서울특별시","강남구","치킨","211"
"20160302","수","남","60대이상","서울특별시","강남구","치킨","14"
"20160302","수","남","40대","서울특별시","강남구","치킨","88"
"20160302","수","남","10대","서울특별시","강남구","치킨","36"
"20160302","수","여","20대","서울특별시","강남구","치킨","100"
"20160302","수","남","20대","서울특별시","강남구","치킨","116"
"20160302","수","남","50대","서울특별시","강남구","치킨","38"
"20160302","수","여","50대","서울특별시","강남구","치킨","56"
"20160302","수","남","30대","서울특별시","강남구","치킨","138"
"20160302","수","남","10대","서울특별시","강동구","치킨","18"
"20160302","수","남","60대이상","서울특별시","강동구","치킨","9"
"20160302","수","남","40대","서울특별시","강동구","치킨","51"
"20160302","수","남","30대","서울특별시","강동구","치킨","85"
"20160302","수","여","10대","서울특별시","강동구","치킨","16"
"20160302","수","여","30대","서울특별시","강동구","치킨","114"
"20160302","수","여","60대이상","서울특별시","강동구","치킨","11"
"20160302","수","여","50대","서울특별시","강동구","치킨","31"
"20160302","수","남","50대","서울특별시","강동구","치킨","23"
"20160302","수","남","20대","서울특별시","강동구","치킨","58"
"20160302","수","여","20대","서울특별시","강동구","치킨","52"
"20160302","수","여","40대","서울특별시","강동구","치킨","104"
"20160302","수","여","10대","서울특별시","강북구","치킨","20"
"20160302","수","여","60대이상","서울특별시","강북구","치킨","13"
"20160302","수","여","40대","서울특별시","강북구","치킨","101"
"20160302","수","여","30대","서울특별시","강북구","치킨","67"
"20160302","수","남","10대","서울특별시","강북구","치킨","24"
"20160302","수","남","30대","서울특별시","강북구","치킨","67"
"20160302","수","남","60대이상","서울특별시","강북구","치킨","17"
"20160302","수","남","50대","서울특별시","강북구","치킨","27"
"20160302","수","여","50대","서울특별시","강북구","치킨","27"
"20160302","수","여","20대","서울특별시","강북구","치킨","51"
"20160302","수","남","20대","서울특별시","강북구","치킨","59"
"20160302","수","남","40대","서울특별시","강북구","치킨","60"
"20160302","수","여","60대이상","서울특별시","강서구","치킨","26"
"20160302","수","여","10대","서울특별시","강서구","치킨","25"
"20160302","수","남","20대","서울특별시","강서구","치킨","115"
"20160302","수","여","50대","서울특별시","강서구","치킨","60"
"20160302","수","남","60대이상","서울특별시","강서구","치킨","17"
"20160302","수","남","50대","서울특별시","강서구","치킨","27"
"20160302","수","남","10대","서울특별시","강서구","치킨","26"
"20160302","수","남","30대","서울특별시","강서구","치킨","147"
"20160302","수","여","30대","서울특별시","강서구","치킨","197"
"20160302","수","남","40대","서울특별시","강서구","치킨","100"
"20160302","수","여","40대","서울특별시","강서구","치킨","170"
"20160302","수","여","20대","서울특별시","강서구","치킨","105"
"20160302","수","남","60대이상","서울특별시","관악구","치킨","16"
"20160302","수","남","10대","서울특별시","관악구","치킨","39"
"20160302","수","여","20대","서울특별시","관악구","치킨","112"
"20160302","수","남","50대","서울특별시","관악구","치킨","15"
"20160302","수","여","60대이상","서울특별시","관악구","치킨","17"
"20160302","수","여","50대","서울특별시","관악구","치킨","35"
